unemployment,cpi,gdp,dff,consumer
,,,,
,,,,
,,,,
,,,,
,21.48,243.164,,
,21.62,,,
,22.0,,,
,22.0,245.968,,
,21.95,,,
,22.08,,,
,22.23,249.585,,
,22.4,,,
,22.84,,,
,22.91,259.745,,
,23.06,,,
,23.41,,,
3.4,23.68,265.742,,
3.8,23.67,,,
4.0,23.5,,,
3.9,23.82,272.567,,
3.5,24.01,,,
3.6,24.15,,,
3.6,24.4,279.196,,
3.9,24.43,,,
3.8,24.36,,,
3.7,24.31,280.366,,
3.8,24.16,,,
4.0,24.05,,,
4.3,24.01,275.034,,
4.7,23.91,,,
5.0,23.91,,,
5.3,23.92,271.351,,
6.1,23.91,,,
6.2,23.92,,,
6.7,23.7,272.889,,
6.8,23.7,,,
6.6,23.75,,,
7.9,23.67,270.627,,
6.4,23.7,,,
6.6,23.61,,,
6.5,23.51,280.828,,
6.4,23.61,,,
6.3,23.64,,,
5.8,23.65,290.383,,
5.5,23.77,,,
5.4,23.88,,,
5.0,24.07,308.153,,
4.5,24.2,,,
4.4,24.34,,,
4.2,24.5,319.945,,
4.2,24.6,,,
4.3,24.98,,,
3.7,25.38,336.0,,
3.4,25.83,,,
3.4,25.88,,,
3.1,25.92,344.09,,
3.0,25.99,,,
3.2,25.93,,,
3.1,25.91,351.385,,
3.1,25.86,,,
3.3,26.03,,,
3.5,26.16,356.178,,
3.5,26.32,,,
3.1,26.47,,,
3.2,26.45,359.82,,
3.1,26.41,,,
2.9,26.39,,,
2.9,26.46,361.03,,
3.0,26.47,,,
3.0,26.53,,,
3.2,26.68,367.701,,
3.4,26.69,,,
3.1,26.63,,,
3.0,26.69,380.812,,
2.8,26.69,,,86.2
2.7,26.71,,,
2.9,26.64,387.98,,
2.6,26.59,,,90.7
2.6,26.63,,,
2.7,26.69,391.749,,
2.5,26.7,,,
2.5,26.77,,,
2.6,26.79,391.171,,
2.7,26.85,,,80.8
2.9,26.89,,,
3.1,26.95,385.97,,
3.5,26.85,,,80.7
4.5,26.87,,,
4.9,26.94,385.345,,
5.2,26.99,,,82.0
5.7,26.93,,,
5.9,26.86,386.121,,
5.9,26.93,,,82.9
5.6,26.94,,,
5.8,26.86,390.996,1.13,
,,,1.25,
,,,1.25,
,,,1.25,
,,,0.88,
,,,0.25,
,,,1.0,
,,,1.25,
,,,1.25,
,,,1.25,
,,,1.25,
,,,1.25,
,,,1.13,
,,,1.13,
,,,0.75,
,,,0.75,
,,,0.75,
,,,0.75,
,,,0.5,
,,,0.25,
,,,0.25,
,,,0.75,
,,,0.75,
,,,0.75,
,,,0.75,
,,,0.75,
,,,0.38,
,,,0.25,
,,,0.38,
,,,0.25,
,,,0.25,
6.0,26.85,,0.25,
,,,0.38,
,,,0.25,
,,,0.13,
,,,0.75,
,,,1.38,
,,,1.38,
,,,1.38,
,,,1.38,
,,,1.44,
,,,1.44,
,,,1.38,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.38,
,,,1.38,
,,,1.44,
,,,1.38,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.38,
,,,1.38,
,,,1.25,
,,,1.25,
,,,1.25,
,,,1.25,
,,,1.44,
