,Unemployment Rate,Consumer Price Index,Gross Domestic Product,Federal Funds Rate,Housing Starts,Consumer Sentiment,Industrial Production,Total Nonfarm Payrolls
2010-01-01,9.8,217.488,14764.61,0.11,614.0,74.4,89.1897,129802.0
2010-02-01,9.8,217.281,,0.13,604.0,73.6,89.5046,129705.0
2010-03-01,9.9,217.353,,0.16,636.0,73.6,90.1356,129865.0
2010-04-01,9.9,217.403,14980.193,0.2,687.0,72.2,90.4607,130120.0
2010-05-01,9.6,217.29,,0.2,583.0,73.6,91.7014,130643.0
2010-06-01,9.4,217.199,,0.18,536.0,76.0,91.9033,130509.0
2010-07-01,9.4,217.605,15141.607,0.18,546.0,67.8,92.2549,130415.0
2010-08-01,9.5,217.923,,0.19,599.0,68.9,92.5936,130416.0
2010-09-01,9.5,218.275,,0.19,594.0,68.2,92.8533,130342.0
2010-10-01,9.4,219.035,15309.474,0.19,543.0,67.7,92.6033,130621.0
2010-11-01,9.8,219.59,,0.19,545.0,71.6,92.6686,130749.0
2010-12-01,9.3,220.472,,0.18,539.0,74.5,93.5916,130830.0
2011-01-01,9.1,221.187,15351.448,0.17,630.0,74.2,93.3889,130837.0
2011-02-01,9.0,221.898,,0.16,517.0,77.5,93.0045,131056.0
2011-03-01,9.0,223.046,,0.14,600.0,67.5,93.9684,131282.0
2011-04-01,9.1,224.093,15557.539,0.1,554.0,69.8,93.6571,131597.0
2011-05-01,9.0,224.806,,0.09,561.0,74.3,93.7723,131704.0
2011-06-01,9.1,224.806,,0.09,608.0,71.5,94.0493,131931.0
2011-07-01,9.0,225.395,15647.68,0.07,623.0,63.7,94.4958,131993.0
2011-08-01,9.0,226.106,,0.1,585.0,55.8,95.0974,132125.0
2011-09-01,9.0,226.597,,0.08,650.0,59.5,95.0244,132344.0
2011-10-01,8.8,226.75,15842.259,0.07,610.0,60.8,95.6891,132553.0
2011-11-01,8.6,227.169,,0.08,711.0,63.7,95.6778,132690.0
2011-12-01,8.5,227.223,,0.07,694.0,69.9,96.1809,132888.0
2012-01-01,8.3,227.842,16068.805,0.08,723.0,75.0,96.7595,133245.0
2012-02-01,8.3,228.329,,0.1,704.0,75.3,97.0662,133508.0
2012-03-01,8.2,228.807,,0.13,695.0,76.2,96.5609,133748.0
2012-04-01,8.2,229.187,16207.115,0.14,753.0,76.4,97.251,133825.0
2012-05-01,8.2,228.713,,0.16,708.0,79.3,97.4595,133933.0
2012-06-01,8.2,228.524,,0.16,757.0,73.2,97.4768,134012.0
2012-07-01,8.2,228.59,16319.541,0.16,740.0,72.3,97.6714,134157.0
2012-08-01,8.1,229.918,,0.13,754.0,74.3,97.2734,134338.0
2012-09-01,7.8,231.015,,0.14,847.0,78.3,97.2217,134517.0
2012-10-01,7.8,231.638,16420.419,0.16,915.0,82.6,97.5311,134668.0
2012-11-01,7.7,231.249,,0.16,833.0,82.7,97.9084,134825.0
2012-12-01,7.9,231.221,,0.16,976.0,72.9,98.1884,135074.0
2013-01-01,8.0,231.679,16648.189,0.14,888.0,73.8,98.1736,135257.0
2013-02-01,7.7,232.937,,0.15,962.0,77.6,98.6434,135545.0
2013-03-01,7.5,232.282,,0.14,1010.0,78.6,99.047,135689.0
2013-04-01,7.6,231.797,16728.687,0.15,835.0,76.4,98.9445,135873.0
2013-05-01,7.5,231.893,,0.11,930.0,84.5,99.0383,136095.0
2013-06-01,7.5,232.445,,0.09,839.0,84.1,99.2221,136279.0
2013-07-01,7.3,232.9,16953.838,0.09,880.0,85.1,98.8987,136391.0
2013-08-01,7.2,233.456,,0.08,917.0,82.1,99.4897,136646.0
2013-09-01,7.2,233.544,,0.08,850.0,77.5,100.021,136821.0
2013-10-01,7.2,233.669,17192.019,0.09,925.0,73.2,99.9037,137041.0
2013-11-01,6.9,234.1,,0.08,1100.0,75.1,100.1582,137316.0
2013-12-01,6.7,234.719,,0.09,1002.0,82.5,100.374,137373.0
2014-01-01,6.6,235.288,17197.738,0.07,888.0,81.2,99.9899,137561.0
2014-02-01,6.7,235.547,,0.07,944.0,81.6,100.7471,137712.0
2014-03-01,6.7,236.028,,0.08,970.0,80.0,101.7435,137985.0
2014-04-01,6.2,236.468,17518.508,0.09,1043.0,84.1,101.8273,138297.0
2014-05-01,6.3,236.918,,0.09,1007.0,81.9,102.2392,138512.0
2014-06-01,6.1,237.231,,0.1,911.0,82.5,102.5774,138849.0
2014-07-01,6.2,237.498,17804.228,0.09,1085.0,81.8,102.7954,139073.0
2014-08-01,6.1,237.46,,0.09,984.0,82.5,102.6322,139269.0
2014-09-01,5.9,237.477,,0.09,1023.0,84.6,102.9417,139563.0
2014-10-01,5.7,237.43,17912.079,0.09,1074.0,86.9,102.9611,139797.0
2014-11-01,5.8,236.983,,0.09,1001.0,88.8,103.5978,140090.0
2014-12-01,5.6,236.252,,0.12,1073.0,93.6,103.6151,140364.0
2015-01-01,5.7,234.747,18063.529,0.11,1085.0,98.1,102.7923,140568.0
2015-02-01,5.5,235.342,,0.11,886.0,95.4,102.1366,140827.0
2015-03-01,5.4,235.976,,0.11,960.0,93.0,101.7869,140923.0
2015-04-01,5.4,236.222,18279.784,0.12,1190.0,95.9,101.2255,141196.0
2015-05-01,5.6,237.001,,0.12,1079.0,90.7,100.7675,141538.0
2015-06-01,5.3,237.657,,0.13,1205.0,96.1,100.4588,141709.0
2015-07-01,5.2,238.034,18401.626,0.13,1146.0,93.1,101.0893,141991.0
2015-08-01,5.1,238.033,,0.14,1130.0,91.9,100.9165,142125.0
2015-09-01,5.0,237.498,,0.14,1224.0,87.2,100.633,142275.0
2015-10-01,5.0,237.733,18435.137,0.12,1058.0,90.0,100.1563,142579.0
2015-11-01,5.1,238.017,,0.12,1172.0,91.3,99.4366,142808.0
2015-12-01,5.0,237.761,,0.24,1146.0,92.6,98.9471,143077.0
2016-01-01,4.8,237.652,18525.933,0.34,1092.0,92.0,99.4391,143210.0
2016-02-01,4.9,237.336,,0.38,1225.0,91.7,98.9232,143407.0
2016-03-01,5.0,238.08,,0.36,1111.0,91.0,98.1635,143662.0
2016-04-01,5.1,238.992,18711.702,0.37,1163.0,89.0,98.4775,143855.0
2016-05-01,4.8,239.557,,0.37,1148.0,94.7,98.2549,143900.0
2016-06-01,4.9,240.222,,0.38,1203.0,93.5,98.7315,144146.0
2016-07-01,4.8,240.101,18892.639,0.39,1239.0,90.0,98.8452,144520.0
2016-08-01,4.9,240.545,,0.4,1171.0,89.8,98.7427,144662.0
2016-09-01,5.0,241.176,,0.4,1068.0,91.2,98.6552,144967.0
2016-10-01,4.9,241.741,19089.379,0.4,1313.0,87.2,98.7237,145066.0
2016-11-01,4.7,242.026,,0.41,1140.0,93.8,98.3443,145183.0
2016-12-01,4.7,242.637,,0.54,1252.0,98.2,99.0406,145408.0
2017-01-01,4.7,243.618,19280.084,0.65,1190.0,98.5,98.8158,145628.0
2017-02-01,4.6,244.006,,0.66,1271.0,96.3,98.4356,145848.0
2017-03-01,4.4,243.892,,0.79,1190.0,96.9,99.0492,145969.0
2017-04-01,4.4,244.193,19438.643,0.9,1146.0,97.0,100.0416,146174.0
2017-05-01,4.4,244.004,,0.91,1157.0,97.1,100.128,146380.0
2017-06-01,4.3,244.163,,1.04,1249.0,95.0,100.337,146583.0
2017-07-01,4.3,244.243,19692.595,1.15,1206.0,93.4,100.0865,146772.0
2017-08-01,4.4,245.183,,1.16,1159.0,96.8,99.6323,146919.0
2017-09-01,4.3,246.435,,1.15,1181.0,95.1,99.7482,147007.0
2017-10-01,4.2,246.626,20037.088,1.15,1257.0,100.7,100.9893,147150.0
2017-11-01,4.2,247.284,,1.16,1273.0,98.5,101.2493,147373.0
2017-12-01,4.1,247.805,,1.3,1177.0,95.9,101.4871,147523.0
2018-01-01,4.0,248.859,20328.553,1.41,1299.0,95.7,101.4852,147660.0
2018-02-01,4.1,249.529,,1.42,1277.0,99.7,101.7319,148054.0
2018-03-01,4.0,249.577,,1.51,1318.0,101.4,102.1943,148280.0
2018-04-01,4.0,250.227,20580.912,1.69,1276.0,98.8,103.3551,148422.0
2018-05-01,3.8,250.792,,1.7,1357.0,98.0,102.381,148740.0
2018-06-01,4.0,251.018,,1.82,1192.0,98.2,103.2256,148959.0
