,Unemployment Rate,Consumer Price Index,Gross Domestic Product,Federal Funds Rate,Housing Starts,Federal Funds Effective Rate,GDPNow,Consumer Sentiment,Industrial Production,Total Nonfarm Payrolls
2010-01-31,9.8,217.488,14764.61,0.11,614.0,0.11,,74.4,89.3426,129802.0
2010-02-28,9.8,217.281,,0.13,604.0,0.12642857142857142,,73.6,89.6779,129705.0
2010-03-31,9.9,217.353,,0.16,636.0,0.16451612903225807,,73.6,90.2928,129865.0
2010-04-30,9.9,217.403,14980.193,0.2,687.0,0.19833333333333333,,72.2,90.5991,130120.0
2010-05-31,9.6,217.29,,0.2,583.0,0.2006451612903226,,73.6,91.823,130643.0
2010-06-30,9.4,217.199,,0.18,536.0,0.17666666666666667,,76.0,91.9928,130509.0
2010-07-31,9.4,217.605,15141.607,0.18,546.0,0.18258064516129033,,67.8,92.3421,130415.0
2010-08-31,9.5,217.923,,0.19,599.0,0.18935483870967743,,68.9,92.6805,130416.0
2010-09-30,9.5,218.275,,0.19,594.0,0.19466666666666665,,68.2,92.9537,130342.0
2010-10-31,9.4,219.035,15309.474,0.19,543.0,0.19129032258064516,,67.7,92.6903,130621.0
2010-11-30,9.8,219.59,,0.19,545.0,0.19433333333333333,,71.6,92.7709,130749.0
2010-12-31,9.3,220.472,,0.18,539.0,0.1832258064516129,,74.5,93.6787,130830.0
2011-01-31,9.1,221.187,15351.448,0.17,630.0,0.16838709677419356,,74.2,93.4814,130837.0
2011-02-28,9.0,221.898,,0.16,517.0,0.15678571428571428,,77.5,93.1102,131056.0
2011-03-31,9.0,223.046,,0.14,600.0,0.13870967741935483,,67.5,94.0788,131282.0
2011-04-30,9.1,224.093,15557.539,0.1,554.0,0.098,,69.8,93.7749,131597.0
2011-05-31,9.0,224.806,,0.09,561.0,0.09387096774193548,,74.3,93.888,131704.0
2011-06-30,9.1,224.806,,0.09,608.0,0.09200000000000001,,71.5,94.172,131931.0
2011-07-31,9.0,225.395,15647.68,0.07,623.0,0.07096774193548387,3.2445,63.7,94.636,131993.0
2011-08-31,9.0,226.106,,0.1,585.0,0.09580645161290323,,55.8,95.2749,132125.0
2011-09-30,9.0,226.597,,0.08,650.0,0.084,,59.5,95.1961,132344.0
2011-10-31,8.8,226.75,15842.259,0.07,610.0,0.0706451612903226,5.1684,60.8,95.8568,132553.0
2011-11-30,8.6,227.169,,0.08,711.0,0.081,,63.7,95.8485,132690.0
2011-12-31,8.5,227.223,,0.07,694.0,0.07161290322580646,,69.9,96.3571,132888.0
2012-01-31,8.3,227.842,16068.805,0.08,723.0,0.08193548387096775,3.0151,75.0,96.9318,133245.0
2012-02-29,8.3,228.329,,0.1,704.0,0.10379310344827586,,75.3,97.2435,133508.0
2012-03-31,8.2,228.807,,0.13,695.0,0.1267741935483871,,76.2,96.74,133748.0
2012-04-30,8.2,229.187,16207.115,0.14,753.0,0.13933333333333334,0.2243,76.4,97.4359,133825.0
2012-05-31,8.2,228.713,,0.16,708.0,0.15580645161290324,,79.3,97.6609,133933.0
2012-06-30,8.2,228.524,,0.16,757.0,0.16166666666666668,,73.2,97.6663,134012.0
2012-07-31,8.2,228.59,16319.541,0.16,740.0,0.15645161290322582,1.849,72.3,97.8713,134157.0
2012-08-31,8.1,229.918,,0.13,754.0,0.13225806451612904,,74.3,97.4525,134338.0
2012-09-30,7.8,231.015,,0.14,847.0,0.14433333333333334,,78.3,97.381,134517.0
2012-10-31,7.8,231.638,16420.419,0.16,915.0,0.15838709677419355,0.0776,82.6,97.7193,134668.0
2012-11-30,7.7,231.249,,0.16,833.0,0.16066666666666668,,82.7,98.0777,134825.0
2012-12-31,7.9,231.221,,0.16,976.0,0.16451612903225807,,72.9,98.3101,135074.0
2013-01-31,8.0,231.679,16648.189,0.14,888.0,0.14258064516129032,2.8718,73.8,98.3342,135257.0
2013-02-28,7.7,232.937,,0.15,962.0,0.14500000000000002,,77.6,98.7941,135545.0
2013-03-31,7.5,232.282,,0.14,1010.0,0.1435483870967742,,78.6,99.1921,135689.0
2013-04-30,7.6,231.797,16728.687,0.15,835.0,0.145,1.3,76.4,99.1065,135873.0
2013-05-31,7.5,231.893,,0.11,930.0,0.10903225806451612,,84.5,99.1839,136095.0
2013-06-30,7.5,232.445,,0.09,839.0,0.09366666666666666,,84.1,99.3897,136279.0
2013-07-31,7.3,232.9,16953.838,0.09,880.0,0.09258064516129033,2.3233,85.1,99.0814,136391.0
2013-08-31,7.2,233.456,,0.08,917.0,0.08290322580645161,,82.1,99.6543,136646.0
2013-09-30,7.2,233.544,,0.08,850.0,0.08,,77.5,100.161,136821.0
2013-10-31,7.2,233.669,17192.019,0.09,925.0,0.08709677419354839,3.1249,73.2,100.082,137041.0
2013-11-30,6.9,234.1,,0.08,1100.0,0.08433333333333333,,75.1,100.3158,137316.0
2013-12-31,6.7,234.719,,0.09,1002.0,0.08516129032258064,,82.5,100.5175,137373.0
2014-01-31,6.6,235.288,17197.738,0.07,888.0,0.07161290322580646,0.3489,81.2,100.1599,137561.0
2014-02-28,6.7,235.547,,0.07,944.0,0.06642857142857143,,81.6,100.9168,137712.0
2014-03-31,6.7,236.028,,0.08,970.0,0.07806451612903226,,80.0,101.8942,137985.0
2014-04-30,6.2,236.468,17518.508,0.09,1043.0,0.09033333333333333,2.6666,84.1,101.9928,138297.0
2014-05-31,6.3,236.918,,0.09,1007.0,0.08709677419354837,,81.9,102.3836,138512.0
2014-06-30,6.1,237.231,,0.1,911.0,0.09566666666666666,,82.5,102.735,138849.0
2014-07-31,6.2,237.498,17804.228,0.09,1085.0,0.09096774193548386,2.6999,81.8,102.9632,139073.0
2014-08-31,6.1,237.46,,0.09,984.0,0.08806451612903225,,82.5,102.7688,139269.0
2014-09-30,5.9,237.477,,0.09,1023.0,0.08833333333333333,,84.6,103.0641,139563.0
2014-10-31,5.7,237.43,17912.079,0.09,1074.0,0.08903225806451612,3.4918,86.9,103.0764,139797.0
2014-11-30,5.8,236.983,,0.09,1001.0,0.09200000000000001,,88.8,103.7126,140090.0
