Stock,Max_Sharpe_Weight,Min_Vol_Weight,Equal_Weight
AAPL,3.860041927167756e-15,0.0,0.01
MSFT,4.03998427117952e-15,0.0365562849196672,0.01
GOOGL,7.680646842888372e-16,0.012949812352627928,0.01
AMZN,1.0056777843933756e-14,0.0,0.01
NVDA,0.07586093743373575,1.5478411418608588e-17,0.01
META,8.351481232954646e-15,0.0,0.01
TSLA,9.526401770080984e-15,3.812623599079309e-18,0.01
AVGO,0.09933811925070268,0.013029894142459753,0.01
ORCL,2.1933778181433587e-14,0.012322630880656667,0.01
ADBE,1.619571867645607e-14,9.973213532707528e-19,0.01
CRM,1.1946329452488382e-14,0.0,0.01
CSCO,3.53380405695486e-15,7.592072910244418e-18,0.01
ACN,9.228463339559561e-15,1.0524497536797178e-17,0.01
AMD,2.0164225468368e-14,1.0235288412214658e-19,0.01
INTC,1.8256178823762576e-14,0.0,0.01
QCOM,1.8736719749440786e-14,0.0,0.01
TXN,1.1925120440578411e-14,0.0,0.01
IBM,0.05932353497000966,0.02271754688478151,0.01
INTU,9.722717119525645e-15,9.601531266409757e-18,0.01
AMAT,1.844688481732155e-14,2.6345129236873362e-18,0.01
MU,1.737089467278869e-14,0.003063327102859214,0.01
LRCX,1.8924607964052366e-14,7.897238181811923e-18,0.01
ADI,1.1812588552855997e-14,0.0,0.01
KLAC,1.4636958679813248e-14,1.7336245925739205e-17,0.01
SNPS,9.524267456470646e-15,0.009521856638654366,0.01
BRK-B,1.204994831497872e-15,5.355890538254938e-18,0.01
JPM,1.0020519006365637e-15,0.0,0.01
V,4.149703283414352e-15,2.4407554939530837e-18,0.01
MA,5.6768373743758105e-15,0.0,0.01
BAC,2.8193405713561963e-15,0.0,0.01
WFC,9.524431073202495e-16,0.0,0.01
MS,4.319011368557811e-15,4.524844776764435e-18,0.01
GS,1.5251085504497252e-15,0.0,0.01
SPGI,4.053634982973499e-15,2.7300424956300556e-17,0.01
BLK,8.361491448010202e-15,1.6962529726571966e-18,0.01
AXP,3.739124857235156e-15,1.0253636195617353e-17,0.01
C,5.4334955962383645e-15,0.0,0.01
SCHW,3.556483774674005e-15,0.0,0.01
CB,3.093408384265055e-15,3.0972881863048256e-18,0.01
MMC,5.193803108019358e-16,4.807108803758155e-18,0.01
PGR,0.08063546689620772,0.0,0.01
AON,6.657502893562591e-16,1.1845796635460786e-17,0.01
CME,0.051030583451487366,0.09999999999999996,0.01
ICE,6.014548344721948e-16,1.7031819824652286e-17,0.01
COF,6.51772543580296e-15,4.106680506295968e-18,0.01
UNH,1.4635710632787888e-15,0.01211956386338208,0.01
JNJ,7.064731287729285e-15,0.1,0.01
LLY,0.09999999999996195,6.43868711158914e-18,0.01
ABBV,0.08446117626168728,0.0004103119458662588,0.01
MRK,3.2615543386299256e-15,0.05285599770614796,0.01
TMO,3.7725895281177985e-15,5.358160188262189e-18,0.01
ABT,8.846476345599469e-16,0.0,0.01
DHR,4.98234837186134e-15,1.233479959655861e-17,0.01
PFE,1.8712656654600906e-15,0.009650907984642422,0.01
BMY,1.0625776144147343e-15,0.03585499785132009,0.01
AMGN,1.3972094748815267e-15,7.63260210360083e-18,0.01
GILD,0.09175492711148914,0.010120155176540826,0.01
CVS,1.133589737649765e-15,1.0181680283282423e-17,0.01
